"Player","Position","Salary","Length.of.Contract","Age","GS","MP","FG","X3P.","X2P","FT","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","USG","ORtg","DRtg","OWS","DWS","WS"
"Blake Griffin","Forward",18668,5,23,80,32.5,0.538,0.179,0.548,0.66,8.3,3.7,1.2,0.6,2.3,2.9,18,22.4,0.572,25.4,114,102,6.8,3.9,10.6
"Chris Paul","Guard",16442,5,27,70,33.4,0.481,0.328,0.538,0.885,3.7,9.7,2.4,0.1,2.3,2,16.9,26.4,0.594,22.6,127,102,10.6,3.4,13.9
"JJ Redick","Guard",10079,4,28,13,30.5,0.434,0.366,0.506,0.9,2.2,3.8,0.5,0.1,1.8,1.5,14.1,14.7,0.571,20.8,111,113,4,0.5,4.5
"DeAndre Jordan","Center",6500,4,22,66,25.6,0.686,0,0.688,0.452,7.2,0.5,0.5,1.8,1.3,3.2,7.1,14.8,0.648,11.7,116,105,2.6,2.6,5.2
"Jamal Crawford","Guard",5000,4,31,6,26.9,0.384,0.308,0.426,0.927,2,3.2,0.9,0.2,1.9,1.2,14,15.7,0.506,26.6,102,109,1.6,0.7,2.3
"Jared Dudley","Forward",4250,5,25,15,26.1,0.477,0.415,0.519,0.743,3.9,1.3,1.1,0.2,0.9,1.7,10.6,15.6,0.598,16.9,119,111,4.2,1.4,5.6
"Matt Barnes","Forward",3250,3,32,4,25.7,0.462,0.342,0.574,0.744,4.6,1.5,1,0.8,1.1,2.9,10.3,15.5,0.566,18.1,113,103,3.5,2.8,6.3
"Darren Collison","Guard",1900,2,25,47,29.3,0.471,0.353,0.498,0.88,2.7,5.1,1.2,0.1,2.1,1.7,12,16.3,0.575,19.6,111,109,4,1.7,5.6
"Willie Green","Guard",1375,3,30,2,17.4,0.471,0.442,0.486,0.857,1.5,0.8,0.4,0.1,0.6,1.4,7.6,13.9,0.578,19.5,110,105,1.4,0.9,2.4
"Byron Mullens","Forward",948,2,23,41,26.9,0.385,0.317,0.425,0.646,6.4,1.5,0.6,0.6,1.4,2.1,10.6,12.3,0.465,21.7,94,110,-0.6,0.7,0.1
"Ryan Hollins","Center",1186,1,28,0,11.1,0.614,0,0.614,0.75,2.3,0.2,0.1,0.6,0.7,2.2,3.4,11.3,0.674,13.6,115,105,1,0.8,1.7
"Antawn Jamison","Forward",1400,1,36,6,21.5,0.464,0.361,0.535,0.691,4.8,0.7,0.4,0.3,0.7,1.6,9.4,15.3,0.561,18.7,114,108,3,1.3,4.3
"Andrew Bogut","Center",10000,5,25,69,32.3,0.52,0,0.521,0.629,10.2,1.8,0.6,2.5,1.9,3.2,15.9,20.7,0.54,23.3,107,98,2.6,4.8,7.5
"David Lee","Center",10800,6,26,81,37.3,0.545,0,0.549,0.812,11.7,3.6,1,0.5,2.3,3.2,20.2,22.2,0.584,23.8,116,108,7.4,2.9,10.3
"Andre Iguodala","Guard",12869,4,29,80,34.7,0.451,0.317,0.515,0.574,5.3,5.4,1.7,0.7,2.6,1.6,13,15.2,0.52,18.8,105,105,2.4,3.2,5.6
"Stephen Curry","Guard",9888,4,24,78,38.2,0.451,0.453,0.449,0.9,4,6.9,1.6,0.2,3.1,2.5,22.9,21.3,0.589,26.4,115,107,8.4,2.8,11.2
"Marreese Speights","Center",3500,3,25,3,16.5,0.445,0.3,0.448,0.771,4.9,0.6,0.3,0.7,1,2.2,8.3,17.3,0.498,25.8,103,104,1.1,1.7,2.8
"Jermaine O'Neal","Center",2000,1,34,4,18.7,0.482,0,0.482,0.835,5.3,0.8,0.3,1.4,1.3,2.3,8.3,16.7,0.538,21.4,103,104,0.7,1.3,2
"Toney Douglas","Guard",1600,1,26,0,18.2,0.403,0.38,0.424,0.905,1.9,2.1,1,0,1.1,2,7.5,13.4,0.531,19.9,106,108,1.4,1,2.4
"Emeka Okafor","Center",9538,6,25,82,33.1,0.535,0,0.535,0.57,10.7,0.9,0.8,1.7,2,2.9,13.8,17.4,0.553,20,106,105,2.2,3.6,5.8
"Caron Butler","Forward",8000,3,29,29,29.9,0.45,0.431,0.454,0.773,4.1,1.6,1,0.3,1.7,2,15,14.2,0.523,25.1,100,106,0.2,1,1.2
"Goran Dragic","Guard",7500,4,25,28,26.5,0.462,0.337,0.525,0.805,2.5,5.3,1.3,0.2,2.4,2.5,11.7,18,0.567,21.8,111,106,3.6,1.5,5.1
"Channing Frye","Center",5200,5,26,41,27,0.451,0.439,0.466,0.81,5.3,1.4,0.8,0.9,0.9,3.2,11.2,15,0.598,16.7,120,108,4.3,2.2,6.4
"Gerald Green","Forward",3500,3,26,2,25.2,0.481,0.391,0.529,0.754,3.5,1.1,0.9,0.5,1.8,2.6,12.9,15.8,0.574,23.6,103,109,0.8,0.4,1.2
"Kobe Bryant","Guard",25244,3,32,82,33.9,0.451,0.323,0.487,0.828,5.1,4.7,1.2,0.1,3,2.1,25.3,23.9,0.548,35.1,111,105,6.8,3.5,10.3
"Pau Gasol","Center",18714,3,30,82,37,0.529,0.333,0.53,0.823,10.2,3.3,0.6,1.6,1.7,2.5,18.8,23.3,0.589,21.8,123,103,10,4.7,14.7
"Steve Nash","Guard",8900,3,37,62,31.6,0.532,0.39,0.58,0.894,3,10.7,0.6,0.1,3.7,0.9,12.5,20.3,0.625,19.6,115,110,5.2,0.6,5.9
"Steve Blake","Guard",4000,4,29,38,27,0.416,0.395,0.443,0.75,2.3,4.8,0.7,0.1,1.6,1.5,7.3,11.6,0.539,14.5,108,111,1.9,1.4,3.3
"Jordan Hill","Center",3500,2,24,8,14.1,0.497,0,0.506,0.638,4.8,0.4,0.4,0.7,0.8,1.8,5,15.8,0.522,17.9,105,101,0.5,0.8,1.4
"Chris Kaman","Center",3183,1,30,52,20.7,0.507,0,0.508,0.788,5.6,0.8,0.4,0.8,1.6,2.1,10.5,16.3,0.529,25.3,98,105,0,1.6,1.6
"Jodie Meeks","Guard",1500,2,24,50,24.9,0.409,0.365,0.468,0.906,2.4,0.8,0.6,0,0.4,1.2,8.4,11.5,0.551,15.2,111,103,2.1,2,4.1
"Nick Young","Guard",1107,2,27,17,23.9,0.413,0.357,0.449,0.82,2.2,1.4,0.6,0.2,0.8,1.4,10.6,13.3,0.525,21.2,105,109,1.4,1,2.3
"Jordan Farmar","Guard",1107,1,25,5,21.3,0.467,0.44,0.484,0.905,1.6,3.3,0.6,0.1,1.7,1.3,10.4,17.4,0.592,22.6,111,113,1.8,0,1.8
"Wesley Johnson","Forward",916,1,25,21,19.1,0.407,0.323,0.461,0.771,2.5,0.7,0.4,0.4,1,1.1,8,10.3,0.485,21.4,93,110,-0.5,0.5,0
"Shawne Williams","Forward",1107,1,25,6,20.6,0.286,0.241,0.35,0.727,2.7,0.6,0.4,0.4,0.5,1.8,4.5,4.9,0.372,14.7,84,112,-0.5,0.1,-0.4
"Robert Sacre","Center",789,3,23,3,6.3,0.375,0,0.375,0.636,1.1,0.2,0,0.3,0.3,1.2,1.3,3.4,0.407,13.8,83,108,-0.2,0.1,-0.1
"Marcus Thornton","Guard",7000,4,23,23,24.3,0.434,0.367,0.462,0.788,3.5,1.8,0.9,0.1,1.3,1.5,12.8,17.4,0.544,23.4,111,112,3.7,0.1,3.8
"John Salmons","Guard",8000,5,30,56,34.9,0.441,0.382,0.468,0.83,3.3,2.8,1.2,0.3,1.5,2,15.4,14.7,0.553,19.9,110,106,3.7,3.4,7.1
"Carl Landry","Forward",6500,4,29,2,23.2,0.54,0.333,0.541,0.817,6,0.8,0.4,0.4,1.4,2.3,10.8,17.5,0.605,20,116,106,4.3,1.9,6.2
"Chuck Hayes","Center",5250,4,27,63,28.1,0.527,0,0.529,0.662,8.1,2.7,1.1,0.7,1.2,2.7,7.9,16.2,0.554,13,120,106,3.9,2.4,6.3
"Jason Thompson","Forward",5250,5,25,47,25.9,0.535,0,0.537,0.602,6.9,1.2,0.7,0.7,1.1,2.3,9.1,16.4,0.558,15.5,115,109,3.1,0.8,3.9
"Travis Outlaw","Forward",3000,4,26,55,28.8,0.375,0.302,0.413,0.772,4,1,0.4,0.4,0.9,1.8,9.2,8.8,0.469,17.3,97,112,-0.4,1.2,0.8
"Hamady N'Diaye","Center",884,1,24,0,5,0.8,0,0.8,0.5,0.4,0,0.1,0.3,0.2,1.1,0.9,5.3,0.681,7.3,107,111,0,0,0.1
"LaMarcus Aldridge","Forward",10744,5,24,78,37.5,0.495,0.313,0.498,0.757,8,2.1,0.9,0.6,1.3,3,17.9,18.2,0.535,22.9,113,107,5.5,3.3,8.8
"Nicolas Batum","Forward",10450,4,23,34,30.4,0.451,0.391,0.496,0.836,4.6,1.4,1,1,1.5,1.8,13.9,17.3,0.575,20.5,112,107,3.3,1.4,4.8
"Wesley Matthews","Guard",4627,5,23,48,24.7,0.483,0.382,0.525,0.829,2.3,1.5,0.8,0.2,1.1,1.9,9.4,12.3,0.592,16.5,113,108,2.6,1.9,4.6
"Robin Lopez","Center",4899,3,23,0,14,0.461,0,0.461,0.714,3.3,0.3,0.3,0.9,0.7,2,5.4,15.2,0.526,18.9,108,105,1.2,0.9,2.1
"Dorell Wright","Forward",3000,2,27,8,22.6,0.396,0.374,0.429,0.851,3.8,1.9,0.8,0.4,0.8,1.2,9.2,16,0.551,18.7,112,105,2.8,2.1,4.9
"Mo Williams","Guard",2652,2,30,46,30.8,0.43,0.383,0.449,0.882,2.4,6.2,1,0.2,2.7,2.3,12.9,14.4,0.519,22.3,103,111,1.2,0.7,1.8
"Earl Watson","Guard",1400,1,33,4,17.3,0.308,0.179,0.348,0.68,1.8,4,0.8,0.2,1.4,2,2,7.7,0.366,11,88,108,-0.6,0.7,0
"Kevin Durant","Forward",15507,5,22,78,38.9,0.462,0.35,0.504,0.88,6.8,2.7,1.1,1,2.8,2,27.7,23.6,0.589,30.6,115,107,8.6,3.3,12
"Russell Westbrook","Guard",13689,5,23,66,35.3,0.457,0.316,0.482,0.823,4.6,5.5,1.7,0.3,3.6,2.2,23.6,22.9,0.538,32.7,108,105,5.5,2.4,7.9
"Serge Ibaka","Forward",12350,4,23,80,31.1,0.573,0.351,0.591,0.749,7.7,0.5,0.4,3,1.6,2.7,13.2,19.4,0.612,18.1,117,101,5.3,4.1,9.4
"Kendrick Perkins","Center",6697,5,25,78,27.6,0.602,0,0.605,0.582,7.6,1,0.3,1.7,2.1,2.8,10.1,15,0.613,17.6,105,101,1.4,3.8,5.2
"Thabo Sefolosha","Guard",3250,4,25,82,28.6,0.44,0.313,0.494,0.674,4.7,1.8,1.2,0.6,1.1,1.9,6,9.8,0.509,10.9,103,104,0.6,3.4,4
"Nick Collison","Forward",3273,4,30,0,20.7,0.597,0,0.6,0.71,4.3,1.3,0.5,0.4,1,2.4,4.5,12.1,0.622,10,121,105,2.3,1.2,3.5
"Hasheem Thabeet","Center",1200,3,24,3,7,0.524,0,0.524,0.65,2.1,0,0.1,0.5,0.4,1,1.8,12.4,0.587,12.4,109,104,0.1,0.2,0.3
"Derek Fisher","Guard",1400,1,38,9,17.4,0.342,0.375,0.309,0.921,1.1,1.4,0.6,0.1,0.9,1.7,5.3,7.7,0.492,16.4,97,108,0,0.4,0.4
"Ryan Gomes","Forward",1186,1,29,2,13.3,0.326,0.138,0.409,0.727,1.9,0.4,0.5,0,0.5,1.1,2.3,4.4,0.371,12.5,81,107,-0.5,0.3,-0.2
"Ty Lawson","Guard",10787,4,25,71,34.4,0.461,0.366,0.491,0.756,2.7,6.9,1.5,0.1,2.5,1.8,16.7,17.9,0.549,22.3,113,109,5.6,1.8,7.4
"JaVale McGee","Center",10000,4,24,45,25.2,0.556,0,0.556,0.461,7.8,0.5,0.6,2.2,1.4,2.7,11.3,19.9,0.552,20.7,106,101,1.9,2.2,4.1
"Danilo Gallinari","Forward",9439,4,23,40,31.4,0.414,0.328,0.47,0.871,4.7,2.7,1,0.5,1.6,2,14.6,16.5,0.563,20.7,114,107,2.9,1,3.9
"Wilson Chandler","Forward",5517,5,23,49,33.3,0.45,0.35,0.501,0.807,5.7,1.7,0.7,1.3,1.4,2.8,15.3,14.6,0.537,20.9,106,109,2.1,1.9,3.9
"JJ Hickson","Center",5150,3,24,80,29,0.562,0,0.563,0.679,10.4,1.1,0.6,0.6,1.8,2,12.7,19.7,0.591,19.9,113,106,4.6,2.3,6.9
"Andre Miller","Guard",5000,3,35,7,27.4,0.438,0.217,0.478,0.811,3.3,6.7,1,0.1,2.7,2,9.7,14.8,0.51,19.8,104,108,1.9,1,2.9
"Timofey Mozgov","Center",4400,2,26,1,8.9,0.506,0,0.518,0.769,2.6,0.2,0.1,0.4,0.6,1.4,2.6,12.3,0.549,14.6,107,105,0.3,0.4,0.7
"Darrell Arthur","Forward",3006,2,22,9,20.1,0.497,0,0.502,0.813,4.3,0.7,0.7,0.8,1.1,2.9,9.1,15.7,0.534,21.6,106,104,1.5,2.2,3.8
"Randy Foye","Guard",3000,3,29,72,27.4,0.397,0.41,0.378,0.819,1.5,2,0.8,0.3,1.1,2.3,10.8,11.7,0.55,18.1,110,111,2.8,0.9,3.7
"Nate Robinson","Guard",2016,2,28,23,25.4,0.433,0.405,0.45,0.799,2.2,4.4,1,0.1,1.8,2.5,13.1,17.4,0.54,25.1,108,105,3.5,2.4,5.9
"Anthony Randolph","Forward",1675,3,22,5,15.2,0.47,0,0.472,0.762,3.6,0.6,0.4,1,1.2,1.6,7.4,17.6,0.532,23.8,102,103,0.5,0.6,1.1
"Kevin Love","Forward",13669,4,23,55,39,0.448,0.372,0.475,0.824,13.3,2,0.9,0.5,2.3,2.8,26,25.4,0.568,28.8,117,104,7.6,2.3,10
"Nikola Pekovic","Center",12100,5,27,62,31.6,0.52,0,0.52,0.744,8.8,0.9,0.7,0.8,1.6,2.3,16.3,20.2,0.572,22.5,115,106,4.6,2.1,6.7
"Kevin Martin","Guard",6550,4,29,0,27.7,0.45,0.426,0.472,0.89,2.3,1.4,0.9,0.1,1.3,1.8,14,16,0.608,21,117,107,5,2,7
"Chase Budinger","Forward",5000,3,24,1,22.1,0.414,0.321,0.482,0.762,3.1,1.1,0.6,0.3,1,1.3,9.4,12.6,0.516,20.5,102,107,0.3,0.4,0.7
"JJ Barea","Guard",4300,4,26,2,20.6,0.439,0.349,0.476,0.847,2,3.9,0.4,0,1.7,1.7,9.5,14.8,0.535,23.9,106,109,1.9,1.4,3.2
"Luc Richard Mbah a Moute","Forward",4574,4,24,52,26.5,0.463,0,0.47,0.707,5.3,0.9,0.9,0.4,1,2.3,6.7,11.5,0.518,13.1,107,103,1.5,3.3,4.8
"Corey Brewer","Forward",4500,3,26,2,24.4,0.425,0.296,0.493,0.69,2.9,1.5,1.4,0.3,1.2,1.9,12.1,14.7,0.506,23.4,104,105,1.7,2.2,3.9
"Dante Cunningham","Forward",2000,3,23,18,21,0.462,0.077,0.473,0.726,3.6,0.6,0.7,0.6,0.7,2.3,6.2,10.7,0.483,15.7,101,107,0.3,1.7,2
"Ronny Turiaf","Center",1500,2,30,0,10.8,0.505,0,0.505,0.365,2.3,0.5,0.3,0.5,0.4,1.2,1.9,9.4,0.485,10,99,103,0.1,1,1.1
"AJ Price","Guard",948,1,26,22,22.4,0.39,0.35,0.427,0.79,2,3.6,0.6,0.1,1.1,1.3,7.7,12.4,0.501,18,105,107,1,1.2,2.2
"Richard Jefferson","Forward",8400,4,29,70,31.1,0.467,0.316,0.515,0.735,4.4,2,0.6,0.5,1.3,2.2,12.3,13.1,0.551,18.3,110,106,3,3,6
"Andris Biedrins","Center",9000,6,21,59,27.3,0.626,0,0.626,0.62,9.8,1,0.7,1.2,1.1,3.4,10.5,19.2,0.637,14.4,127,106,5.4,2.6,8
"Marvin Williams","Forward",7500,5,22,59,34.3,0.458,0.355,0.493,0.806,6.3,1.3,0.9,0.6,1.1,2.1,13.9,16,0.569,18.2,117,108,3.9,2.2,6.1
"Brandon Rush","Forward",4000,2,26,1,26.4,0.501,0.452,0.544,0.793,3.9,1.4,0.5,0.9,1,1,9.8,15.2,0.628,15.4,115,110,2.9,0.6,3.5
"Jeremy Evans","Forward",1795,3,24,0,7.5,0.643,0,0.659,0.5,1.7,0.4,0.2,0.8,0.2,0.8,2.1,19.6,0.632,11.2,131,101,0.6,0.3,0.9
"John Lucas","Guard",1600,1,30,0,13.1,0.386,0.377,0.393,0.72,1,1.7,0.4,0,0.4,0.8,5.3,12.8,0.483,20.8,104,111,0.7,0.3,1.1
"Mike Harris","Forward",916,1,27,0,4,0.5,0,0.5,0.5,1.3,0.3,0,0.3,0.3,0.5,2,17.9,0.515,24.2,107,108,0,0,0
"Roy Hibbert","Center",13669,4,25,65,29.8,0.497,0,0.498,0.711,8.8,1.7,0.5,2,2,3,12.8,19.3,0.539,21.1,109,101,3.2,3,6.2
"Danny Granger","Forward",9931,5,25,66,36.2,0.447,0.404,0.47,0.878,5.1,2.7,1,1.4,2.5,3.1,25.8,21.8,0.584,29.6,114,109,5.6,2.4,8
"David West","Forward",12000,3,32,73,33.4,0.498,0.211,0.503,0.768,7.7,2.9,1,0.9,2.2,2,17.1,20.1,0.545,24.4,110,99,4.4,4.7,9.1
"George Hill","Guard",8000,5,25,9,25.5,0.442,0.367,0.489,0.778,3,2.9,0.8,0.3,1,2,9.6,15.7,0.557,17.2,117,105,2.8,1.3,4
"Luis Scola","Forward",4149,3,31,66,31.3,0.491,0,0.493,0.773,6.5,2.1,0.5,0.4,2.3,3.2,15.5,15.4,0.526,24.8,102,107,1.8,1.6,3.4
"Ian Mahinmi","Center",4000,4,25,12,18.7,0.546,0,0.549,0.639,4.7,0.2,0.6,0.5,0.8,2.9,5.8,13.5,0.585,14.4,113,101,1.7,1.7,3.4
"Chris Copeland","Forward",3000,2,28,13,15.4,0.479,0.421,0.513,0.759,2.1,0.5,0.3,0.2,0.9,1.9,8.7,16.8,0.583,25.3,110,109,1.5,0.6,2.1
"CJ Watson","Guard",2016,2,28,8,19,0.418,0.411,0.424,0.78,1.8,2,0.8,0.2,0.9,1.5,6.8,13.9,0.544,17.2,113,107,2.5,1.3,3.8
"Donald Sloan","Guard",884,2,25,0,11.4,0.346,0.368,0.339,0.8,1.2,1.7,0.2,0,0.6,0.7,3.5,9.6,0.455,17.5,99,113,0,0,0.1
"Josh Smith","Forward",13500,4,27,76,35.3,0.465,0.303,0.498,0.517,8.4,4.2,1.2,1.8,3,2.3,17.5,17.7,0.501,26.7,97,101,-0.3,4.5,4.2
"Charlie Villanueva","Forward",6500,5,24,47,26.9,0.447,0.345,0.479,0.838,6.7,1.8,0.6,0.7,1.8,3.3,16.2,18.6,0.529,28.5,106,106,2.2,2.7,4.9
"Rodney Stuckey","Guard",8500,3,24,54,31.2,0.439,0.289,0.457,0.866,3.1,5.2,1.1,0.1,2.2,2.5,15.5,18.4,0.544,24.5,112,114,4.4,0.6,5
"Brandon Jennings","Guard",7656,3,22,66,35.3,0.418,0.332,0.464,0.808,3.4,5.5,1.6,0.3,2.2,1.7,19.1,18.4,0.514,25.9,106,107,3.8,1.8,5.5
"Jonas Jerebko","Forward",4500,4,22,73,27.9,0.481,0.313,0.52,0.71,6,0.7,1,0.4,1,2.9,9.3,13.9,0.545,15.7,113,111,2.9,1.5,4.4
"Will Bynum","Guard",2790,2,30,0,18.8,0.469,0.316,0.494,0.809,1.5,3.6,0.7,0.1,1.9,2,9.8,16.6,0.532,27,103,111,1.2,0.5,1.7
"Chauncey Billups","Guard",2500,1,36,22,19,0.402,0.367,0.476,0.938,1.5,2.2,0.5,0,1.2,1.1,8.4,15,0.601,19.6,117,108,1,0.3,1.3
"Josh Harrellson","Center",884,2,23,0,5.2,0.444,0.2,0.75,0.5,1.2,0,0.2,0.2,0.5,0.7,1.7,8.5,0.506,19.9,87,104,0,0,0
"Derrick Rose","Guard",16403,5,23,39,35.3,0.435,0.312,0.475,0.812,3.4,7.9,0.9,0.7,3.1,1.3,21.8,23,0.532,30.5,112,101,4.1,2,6
"Carlos Boozer","Forward",14400,5,28,78,34.3,0.562,0,0.562,0.742,11.2,3.2,1.1,0.5,2.7,3.5,19.5,19.7,0.549,23.8,108,95,3.3,4.3,7.6
"Luol Deng","Forward",9385,6,22,59,33.8,0.479,0.364,0.482,0.77,6.3,2.5,0.9,0.5,1.9,1.9,17,17,0.528,23.6,107,109,2.4,1.9,4.4
