"Player","Position","Salary","Length.of.Contract","Age","GS","MP","FG","X3P.","X2P","FT","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","USG","ORtg","DRtg","OWS","DWS","WS"
"Joakim Noah","Center",9659,5,25,48,32.8,0.525,0,0.526,0.739,10.4,2.2,1,1.5,1.9,3.3,11.7,18.8,0.579,16.8,117,97,3.1,3.6,6.7
"Taj Gibson","Forward",7550,4,27,5,22.4,0.485,0,0.49,0.679,5.3,0.9,0.4,1.4,1.2,2.6,8,14.4,0.518,18.1,104,101,1,2.3,3.3
"Kirk Hinrich","Guard",3941,2,31,31,25.8,0.414,0.346,0.472,0.781,2.1,2.8,0.8,0.2,1.2,2.1,6.6,9.2,0.511,13.9,100,104,0.4,1.4,1.8
"Mike Dunleavy","Forward",3183,2,32,3,25.9,0.442,0.428,0.455,0.82,3.9,1.9,0.5,0.5,1.2,1.8,10.5,13.6,0.577,17.3,111,107,2.7,1.7,4.4
"Nazr Mohammed","Center",1400,1,35,12,11,0.367,0,0.371,0.723,3.1,0.4,0.3,0.5,0.4,1.5,2.6,10.8,0.414,14.9,97,100,0,1.2,1.2
"Richard Hamilton","Guard",333,3,34,45,21.8,0.429,0.308,0.444,0.857,1.7,2.4,0.5,0.1,1.7,1.9,9.8,13.2,0.5,24.5,101,104,0.5,0.8,1.3
"Andrew Bynum","Guard",12250,2,24,60,35.2,0.558,0.2,0.56,0.692,11.8,1.4,0.5,1.9,2.5,1.7,18.7,22.9,0.594,23.8,112,100,4.8,3.3,8
"Anderson Varejao","Forward",6300,6,26,42,28.5,0.536,0,0.538,0.616,7.2,1,0.9,0.8,1,3,8.6,14.6,0.565,14.2,116,100,3.3,4.7,8
"Jarrett Jack","Guard",6300,4,29,4,29.7,0.452,0.404,0.466,0.843,3.1,5.6,0.8,0.1,2,1.7,12.9,15.9,0.542,21,110,108,3.9,1.8,5.6
"Earl Clark","Forward",4250,2,25,36,23.1,0.44,0.337,0.479,0.697,5.5,1.1,0.6,0.7,1.1,1.7,7.3,12.4,0.51,15.7,103,105,0.7,1.5,2.3
"Alonzo Gee","Guard",3500,3,24,31,29,0.412,0.321,0.442,0.788,5.1,1.8,1.3,0.3,1.8,2.4,10.6,10.5,0.505,16.9,99,110,0.5,1.5,1.9
"CJ Miles","Guard",2225,2,24,14,20.4,0.381,0.307,0.416,0.794,2.1,1.2,0.8,0.3,0.9,2.2,9.1,12.4,0.484,22.7,101,108,0.7,0.8,1.5
"OJ Mayo","Guard",8000,3,25,82,35.5,0.449,0.407,0.471,0.82,3.5,4.4,1.1,0.3,2.6,2.4,15.3,13.9,0.556,20.9,104,109,2.3,1.8,4.2
"Ersan Ilyasova","Forward",7900,5,24,41,27.6,0.492,0.455,0.501,0.781,8.8,1.2,0.7,0.7,1.3,2.2,13,20.5,0.577,20.1,118,103,4.4,2,6.4
"Zaza Pachulia","Center",5200,3,28,15,21.8,0.473,0,0.479,0.757,6.5,1.5,0.7,0.2,1.3,2.5,5.9,13.1,0.534,14.6,108,104,1.2,1.5,2.7
"Luke Ridnour","Guard",4000,4,28,0,21.5,0.478,0.381,0.513,0.907,1.7,4,0.7,0.1,1.3,2.2,10.4,17.7,0.57,22,116,106,4,2.2,6.2
"Gary Neal","Guard",3250,2,28,17,21.8,0.412,0.355,0.454,0.865,2.1,1.9,0.4,0,1,1.4,9.5,11.5,0.512,21.7,99,106,0.4,1.5,1.9
"Carlos Delfino","Forward",3250,2,30,5,25.2,0.405,0.375,0.467,0.857,3.3,2,1,0.1,1.1,1.7,10.6,13.3,0.549,18.6,109,107,2,1.5,3.5
"Ishmael Smith","Guard",910,3,23,1,9,0.383,0.333,0.389,0.7,1.3,1.6,0.6,0.1,0.5,0.6,2.8,14.1,0.422,19.6,96,103,0,0.3,0.3
"Khris Middleton","Guard",474,3,21,0,17.6,0.44,0.311,0.5,0.844,1.9,1,0.6,0.1,0.4,2,6.1,11.4,0.532,15.9,111,110,0.6,0.3,0.9
"Chris Bosh","Center",14500,6,25,70,36.1,0.518,0.364,0.521,0.797,10.8,2.4,0.6,1,2.4,2.4,24,25,0.592,28.7,117,111,7.9,1.7,9.6
"LeBron James","Forward",14500,6,25,76,39,0.503,0.333,0.56,0.767,7.3,8.6,1.6,1,3.4,1.6,29.7,31.1,0.604,33.5,121,102,13.3,5.2,18.5
"Dwyane Wade","Guard",14000,6,28,77,36.3,0.476,0.3,0.509,0.761,4.8,6.5,1.8,1.1,3.3,2.4,26.6,28,0.562,34.9,113,103,8.5,4.6,13
"Udonis Haslem","Forward",4340,5,29,0,27.9,0.494,0,0.494,0.762,8.1,0.7,0.4,0.3,1,2.2,9.9,14.6,0.538,17.1,111,104,2.8,3.2,6
"Mario Chalmers","Guard",4000,3,24,28,22.6,0.399,0.359,0.459,0.871,2.1,2.5,1.1,0.1,1.3,2.3,6.4,13,0.578,17.4,104,101,1.5,2.8,4.3
"Joel Anthony","Center",3300,5,27,16,16.5,0.478,0,0.478,0.717,3.1,0.2,0.3,1.4,0.6,2,2.7,10.2,0.546,8.7,112,103,1,2,3.1
"Shane Battier","Forward",3000,3,32,59,29,0.45,0.382,0.525,0.688,4.5,2.3,0.8,1,1,1.9,7.6,12.3,0.567,11.7,115,108,2.9,2.2,5.1
"Ray Allen","Guard",3090,2,36,42,34,0.458,0.453,0.463,0.915,3.1,2.4,1.1,0.2,1.5,1.8,14.2,14.8,0.607,18.6,111,101,2.5,2.2,4.7
"Rashard Lewis","Forward",1352,2,32,15,26,0.385,0.239,0.448,0.838,3.9,1,0.8,0.4,1.1,1.8,7.8,9.3,0.457,16.5,94,108,-0.2,0.4,0.3
"Chris Andersen","Center",1400,2,34,0,14.9,0.577,0.667,0.575,0.677,4.1,0.4,0.4,1,0.6,2.1,4.9,17.4,0.631,14.4,125,100,1.6,1.1,2.7
"Greg Oden","Center",1027,1,22,21,23.9,0.605,0,0.605,0.766,8.5,0.9,0.4,2.3,1.9,4,11.1,23.1,0.647,20.7,118,100,1.3,1,2.2
"Michael Beasley","Forward",1027,1,24,20,20.7,0.405,0.313,0.426,0.746,3.8,1.5,0.4,0.5,1.9,1.4,10.1,10.8,0.462,27.6,87,109,-2.5,1,-1.5
"Jarvis Varnado","Forward",474,1,24,0,4.5,0.429,0,0.429,0.5,0.7,0.2,0.1,0.2,0.5,0.8,0.6,1.2,0.457,12.1,68,105,-0.1,0.1,-0.1
"Al Horford","Center",9659,4,24,77,35.1,0.557,0.5,0.557,0.798,9.3,3.5,0.8,1,1.5,2.5,15.3,20.7,0.587,19.7,118,105,6.4,3.7,10.1
"Paul Millsap","Forward",9500,2,27,78,30.4,0.49,0.333,0.498,0.742,7.1,2.6,1.3,1,1.8,3,14.6,19.8,0.55,22.4,112,104,4.8,2.9,7.6
"Jeff Teague","Guard",8000,4,24,78,32.9,0.451,0.359,0.482,0.881,2.3,7.2,1.5,0.4,2.9,2.3,14.6,16.8,0.543,23,106,106,3.5,2.6,6.1
"Kyle Korver","Forward",6761,4,30,7,22.6,0.432,0.435,0.426,0.833,2.4,1.7,0.6,0.2,0.8,1.7,8.1,13.6,0.6,15.3,120,101,3.1,2.1,5.3
"Louis Williams","Guard",5000,3,25,0,26.3,0.407,0.362,0.425,0.812,2.4,3.5,0.8,0.3,1.1,1.4,14.9,20.2,0.525,27.4,110,102,3.9,2.2,6.1
"Elton Brand","Center",4000,1,33,18,21.2,0.473,0,0.474,0.71,6,1,0.7,1.3,0.8,2.7,7.2,15.2,0.499,17.2,105,102,1.2,2.2,3.4
"DeMarre Carroll","Forward",2558,2,26,12,16.8,0.46,0.286,0.508,0.765,2.8,0.9,0.9,0.4,0.5,1.8,6,15.5,0.535,16.4,115,106,2,1.1,3.1
"Jeremy Tyler","Center",884,2,20,23,13.5,0.421,0,0.423,0.558,3.3,0.4,0.4,0.5,0.9,2,4.9,10.4,0.442,21.8,89,108,-0.5,0.4,-0.2
"Al Jefferson","Center",13500,3,28,78,33.1,0.494,0.118,0.5,0.77,9.2,2.1,1,1.1,1.3,2.2,17.8,20.9,0.522,25.3,109,104,4.3,3.3,7.7
"Ben Gordon","Guard",10000,5,25,76,36.6,0.455,0.41,0.476,0.864,3.5,3.4,0.9,0.3,2.4,2.2,20.7,17,0.573,25,112,112,5.2,1.7,6.9
"Gerald Henderson","Guard",6000,3,25,58,31.4,0.447,0.33,0.462,0.824,3.7,2.6,1,0.5,1.6,2.2,15.5,16.4,0.531,23.5,107,113,2.9,0.3,3.3
"Ramon Sessions","Guard",5000,2,25,23,26.7,0.428,0.443,0.425,0.782,3.3,5.5,0.7,0,2.2,1.6,11.3,16.7,0.535,21.6,108,109,2.9,0.8,3.7
"Josh McRoberts","Forward",2652,2,25,22,22.2,0.455,0.286,0.51,0.765,4.9,2.1,0.5,0.4,1,2,6,12.7,0.527,13.7,109,110,1.5,0.7,2.2
"Brendan Haywood","Center",2050,4,32,54,21.2,0.518,0,0.518,0.469,6,0.4,0.4,1,0.9,2.2,5.2,12.9,0.52,12.8,107,101,1.1,1.6,2.7
"Jannero Pargo","Guard",1400,1,33,0,15.8,0.368,0.336,0.406,0.923,1.1,2.1,0.6,0.1,1.3,1.3,6.5,10.3,0.475,23.3,92,111,-0.4,0.2,-0.2
"Anthony Tolliver","Forward",1027,1,27,11,15.5,0.38,0.338,0.446,0.863,2.5,0.5,0.2,0.2,0.6,1.1,4.1,8.4,0.531,13.2,102,107,0.3,0.9,1.2
"Jeff Adrien","Forward",653,2,24,0,8.5,0.426,0,0.426,0.579,2.5,0.4,0.2,0.2,0.4,1.2,2.5,11.3,0.457,16.1,102,110,0.1,0.1,0.2
"Nene","Center",13000,5,28,75,30.5,0.615,0.2,0.618,0.711,7.6,2,1.1,1,1.8,3.2,14.5,20.4,0.657,18.8,123,104,6.4,3.1,9.6
"Trevor Ariza","Forward",5854,5,23,20,24.4,0.46,0.319,0.526,0.71,4.3,1.8,1.7,0.3,1.1,2,8.9,15.5,0.544,16.6,112,102,2.5,3.5,6.1
"Martell Webster","Forward",5150,4,26,62,28.9,0.442,0.422,0.463,0.848,3.9,1.9,0.6,0.2,1.2,2.2,11.4,13.9,0.601,16.9,115,106,3.9,2.4,6.3
"Eric Maynor","Guard",2016,2,25,0,15,0.377,0.354,0.389,0.726,0.7,2.8,0.3,0,1.2,0.9,4.5,9.3,0.472,18.4,96,112,-0.1,0.3,0.2
"Al Harrington","Center",1400,1,32,0,11.9,0.351,0.267,0.444,0.75,2.7,1,0.4,0.1,0.7,1.8,5.1,10.3,0.434,25.1,90,107,-0.1,0.1,0
"Garrett Temple","Guard",916,1,26,36,22.7,0.407,0.325,0.444,0.703,2.4,2.3,1,0.3,1.2,1.8,5.1,8.8,0.478,13.2,94,104,-0.3,1.5,1.2
"Hedo Turkoglu","Forward",9000,5,29,77,36.6,0.413,0.356,0.445,0.807,5.3,4.9,0.8,0.2,2.6,2.8,16.8,14.8,0.541,23,107,104,3,4.4,7.3
"Jameer Nelson","Guard",8600,3,29,57,29.9,0.427,0.377,0.459,0.807,3.2,5.7,0.7,0.1,2.4,2.3,11.9,14.6,0.524,21.4,106,107,2.3,1.2,3.5
"Arron Afflalo","Guard",5886,5,25,69,33.7,0.498,0.423,0.546,0.847,3.6,2.4,0.5,0.4,1,2.2,12.6,13.6,0.62,14.8,123,111,4.8,1.4,6.2
"Glen Davis","Center",5071,4,25,13,29.5,0.448,0.133,0.454,0.736,5.4,1.2,1,0.4,1.1,3,11.7,12.8,0.499,20.9,101,100,0.6,4.3,4.9
"Jason Maxiell","Forward",2500,2,29,71,24.8,0.446,0,0.446,0.621,5.7,0.8,0.4,1.3,1.1,2.4,6.9,11.3,0.478,15.3,98,107,0.1,1.7,1.8
"Ronnie Price","Guard",1266,2,29,0,13.1,0.325,0.256,0.358,0.708,1.1,1.9,0.7,0.1,0.9,1.6,2.7,6.8,0.402,14.8,88,109,-0.5,0.3,-0.2
"Kris Humphries","Forward",12000,2,26,62,34.9,0.481,0,0.481,0.752,11,1.5,0.8,1.2,1.9,2.8,13.8,17.9,0.539,19.3,110,106,3.6,1.7,5.3
"Rajon Rondo","Guard",11955,2,26,38,37.4,0.484,0.24,0.513,0.645,5.6,11.1,1.8,0.2,3.9,2.5,13.7,18.1,0.516,21.7,103,103,1.2,2,3.2
"Gerald Wallace","Forward",9682,4,29,58,35.8,0.454,0.307,0.5,0.8,6.7,2.8,1.5,0.6,1.9,2.5,13.8,15.9,0.547,18.6,109,106,3,1.8,4.8
"Jeff Green","Forward",8100,4,24,51,32.4,0.449,0.303,0.499,0.811,4.8,1.4,0.7,0.5,1.3,2.8,13.3,12.9,0.553,19.8,106,102,0.5,1,1.5
"Brandon Bass","Forward",6000,3,26,39,31.7,0.479,0,0.479,0.81,6.2,0.9,0.6,0.9,1.1,2.3,12.5,14.1,0.524,19.8,103,99,1.5,3.2,4.7
"Courtney Lee","Guard",5000,4,26,26,30.3,0.433,0.401,0.452,0.826,2.7,1.5,1.2,0.4,1.1,1.8,11.4,12.6,0.534,17.6,106,107,1.8,1.4,3.2
"Keith Bogans","Guard",5058,3,32,23,19,0.38,0.343,0.615,0.647,1.6,1,0.4,0.1,0.7,1.5,4.2,6.7,0.533,11.2,105,110,0.7,0.7,1.4
"Rudy Gay","Forward",17889,5,23,80,39.7,0.466,0.327,0.492,0.753,5.9,1.9,1.5,0.8,2.1,2.5,19.6,16.2,0.535,22.5,109,110,4,2.4,6.4
"DeMar DeRozan","Guard",9500,4,23,82,36.7,0.445,0.283,0.463,0.831,3.9,2.5,0.9,0.3,1.8,2.1,18.1,14.7,0.523,24.2,105,110,3.1,1.6,4.7
"Amir Johnson","Forward",5000,5,22,5,17.7,0.623,0,0.63,0.638,4.8,0.6,0.5,0.8,0.8,3.1,6.2,16.7,0.639,14.5,124,110,3.4,1.1,4.5
"Landry Fields","Forward",6250,3,23,62,28.7,0.46,0.256,0.523,0.562,4.2,2.6,1.2,0.3,1.5,1.5,8.8,12,0.506,16,100,102,0.8,2.6,3.4
"Kyle Lowry","Guard",5750,4,23,0,24.3,0.397,0.272,0.448,0.827,3.6,4.5,0.9,0.1,1.7,2.5,9.1,15.5,0.536,18.6,113,109,2.9,1.4,4.3
"Marcus Camby","Forward",2763,2,38,4,10.4,0.321,0,0.321,0.421,3.3,0.6,0.3,0.6,0.6,1.2,1.8,8.6,0.342,14.3,82,101,-0.4,0.4,0
"Steve Novak","Forward",4054,4,28,0,18.9,0.478,0.472,0.509,0.846,1.9,0.2,0.3,0.2,0.4,1.1,8.8,15.9,0.684,16.2,129,105,2.9,0.9,3.9
"Tyler Hansbrough","Forward",3183,2,27,8,16.9,0.432,0,0.436,0.72,4.6,0.4,0.4,0.2,1,1.9,7,15.3,0.527,20.6,110,101,2.1,2.2,4.4
"Aaron Gray","Center",2575,2,27,40,16.6,0.516,0,0.516,0.532,5.7,0.6,0.4,0.3,1,2.6,3.9,11.1,0.526,13.5,98,100,0.1,1.3,1.4
"Quentin Richardson","Forward",4347,3,32,0,29,0.091,0.25,0,1,10,1,0,0,2,1,5,0.7,0.21,22.4,67,110,-0.1,0,-0.1
"DJ Augustin","Guard",1267,1,25,5,16.1,0.35,0.353,0.346,0.838,1.2,2.2,0.4,0,0.9,0.8,4.7,11,0.527,15.1,109,104,1.4,1.5,2.8
"Austin Daye","Forward",948,1,24,0,12.3,0.433,0.418,0.445,0.765,2.2,0.8,0.3,0.4,0.5,1.5,4.5,12.9,0.554,17.1,109,104,0.8,0.9,1.6
"Thaddeus Young","Forward",7478,5,22,1,26,0.541,0.273,0.548,0.707,5.3,1,1.1,0.3,1.2,2.1,12.7,18.4,0.566,22.1,110,104,3.2,3,6.2
"Spencer Hawes","Center",6500,2,23,29,24.9,0.489,0.25,0.498,0.727,7.3,2.6,0.4,1.3,1.5,2.7,9.6,18.1,0.517,20.3,105,97,1.1,1.9,2.9
"Jason Richardson","Guard",5395,4,30,80,33.9,0.447,0.395,0.49,0.73,4.1,1.8,1.2,0.2,1.2,2,15.6,15,0.555,20.6,110,106,3.6,3.3,6.9
"Lavoy Allen","Forward",3000,2,22,15,15.2,0.473,0,0.473,0.786,4.2,0.8,0.3,0.4,0.5,1.8,4.1,12.7,0.488,14.5,104,98,0.4,1.2,1.6
"Kwame Brown","Center",2946,1,30,11,12.2,0.459,0,0.459,0.368,3.4,0.4,0.3,0.5,0.4,1.7,1.9,8.8,0.452,9.1,100,103,0,0.4,0.4
"Darius Morris","Guard",200,1,22,17,14.2,0.388,0.364,0.402,0.649,1.2,1.6,0.4,0,0.9,1.2,4,8.1,0.475,16.2,96,110,-0.1,0.3,0.2
"James Anderson","Guard",533,3,22,2,11.8,0.379,0.279,0.443,0.75,1.5,0.8,0.2,0,0.6,0.7,3.7,8.8,0.483,17.2,97,107,0.1,0.4,0.5
"Joe Johnson","Guard",16325,6,28,76,38,0.458,0.369,0.488,0.818,4.6,4.9,1.1,0.1,1.9,1.9,21.3,19.3,0.538,26.3,112,109,6,2.4,8.4
"Deron Williams","Guard",17178,5,27,55,36.3,0.407,0.336,0.446,0.843,3.3,8.7,1.2,0.4,4,2.2,21,20.3,0.527,30.1,106,111,3.7,0.4,4.1
"Paul Pierce","Forward",13876,4,32,71,34,0.472,0.414,0.497,0.852,4.4,3.1,1.2,0.4,2.3,2.8,18.3,18.2,0.613,23.8,114,105,5,3.3,8.3
"Brook Lopez","Center",13669,4,23,5,27.2,0.494,0,0.494,0.625,3.6,1.2,0.2,0.8,1.2,1.6,19.2,21.9,0.527,32.7,107,113,0.3,0,0.3
"Kevin Garnett","Center",11566,3,35,60,31.1,0.503,0.333,0.505,0.857,8.2,2.9,0.9,1,1.8,2.4,15.8,20.4,0.55,24.9,106,94,2.6,4.3,6.9
"Jason Terry","Guard",5000,3,34,1,31.7,0.43,0.378,0.471,0.883,2.4,3.6,1.2,0.2,2,1.1,15.1,15.7,0.54,23.3,103,106,2,1.8,3.8
"Andrei Kirilenko","Forward",3183,2,31,64,31.8,0.507,0.292,0.566,0.752,5.7,2.8,1.5,1,1.9,1.3,12.4,17.6,0.59,17.4,113,104,3.4,2.6,6
"Reggie Evans","Forward",1623,3,31,0,13.8,0.472,0,0.472,0.507,4.8,0.3,0.6,0.1,0.8,2.1,1.9,9.2,0.504,8.8,101,102,0.2,1,1.3
"Andray Blatche","Center",1376,2,26,8,19,0.512,0.136,0.524,0.685,5.1,1,1,0.7,1.5,2,10.3,21.9,0.547,26.5,107,101,2.4,2.5,4.9
"Shaun Livingston","Guard",1272,1,27,16,22,0.48,0,0.485,0.867,2.4,3.3,0.7,0.5,1.2,1.9,6.3,13,0.536,14.3,109,109,1.7,0.9,2.6
"Alan Anderson","Forward",948,2,30,2,23,0.383,0.333,0.426,0.857,2.3,1.6,0.7,0.1,1.2,2,10.7,12.6,0.509,23.6,101,110,0.8,0.8,1.6
"Carmelo Anthony","Forward",19445,3,27,55,34.1,0.43,0.335,0.454,0.804,6.3,3.6,1.1,0.4,2.6,2.8,22.6,21.1,0.525,31.8,106,102,3.7,2.6,6.2
"Amar'e Stoudemire","Forward",16487,5,27,82,34.6,0.557,0.167,0.559,0.771,8.9,1,0.6,1,2.6,3.4,23.1,22.6,0.615,27.3,117,109,8.2,2.5,10.7
"Tyson Chandler","Center",13108,4,28,74,27.8,0.654,0,0.654,0.732,9.4,0.4,0.5,1.1,1.2,3.2,10.1,18.4,0.697,14.2,131,102,5.8,3.5,9.4
"Andrea Bargnani","Forward",8500,5,24,80,35,0.47,0.372,0.509,0.774,6.2,1.2,0.3,1.4,1.5,2.7,17.2,15.5,0.552,22.3,108,113,3.3,0.9,4.2
"JR Smith","Guard",5565,3,27,0,33.5,0.422,0.356,0.458,0.762,5.3,2.7,1.3,0.3,1.7,2.8,18.1,17.6,0.522,26.5,107,106,4,2.7,6.7
"Raymond Felton","Guard",3480,4,27,56,31.8,0.407,0.305,0.453,0.806,2.5,6.5,1.3,0.2,2.8,2,11.4,13.4,0.491,20.8,99,109,0.7,1,1.7
"Metta World Peace","Forward",1590,2,33,66,33.7,0.403,0.342,0.464,0.734,5,1.5,1.6,0.6,1.3,2.6,12.4,12.5,0.517,17.5,105,106,1.9,2.6,4.6
"Kenyon Martin","Center",1400,1,35,11,23.9,0.602,0,0.602,0.425,5.3,0.4,0.9,0.9,0.9,3.6,7.2,13.9,0.583,13.7,114,104,0.6,0.6,1.2
"Beno Udrih","Guard",1272,1,30,9,22.1,0.441,0.333,0.471,0.816,2.1,4.6,0.6,0,1.6,1.4,8.2,14.2,0.516,19.3,106,111,1.5,0.7,2.2
"Jeremy Tyler","Center",884,2,21,0,3.2,0.375,0,0.375,0.667,1,0,0,0.1,0.3,0.5,1,6.2,0.413,21.5,80,104,-0.2,0.1,-0.1
